ID,FPS,"LoopType (0: Single, 1: Loop)",,,
Ready,10,0,,,
,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:Fale, 1:True)"
assets/player/cappy/ready.png,7,0,68,77,0
assets/player/cappy/ready.png,80,0,68,77,0
assets/player/cappy/ready.png,147,0,68,77,0
assets/player/cappy/ready.png,214,0,68,77,0
assets/player/cappy/ready.png,283,0,68,77,0
assets/player/cappy/ready.png,354,0,68,77,0
assets/player/cappy/ready.png,424,0,68,77,0
assets/player/cappy/ready.png,491,0,68,77,0
assets/player/cappy/ready.png,558,0,68,77,0
assets/player/cappy/ready.png,621,0,68,77,0
assets/player/cappy/ready.png,687,0,68,77,0
assets/player/cappy/ready.png,752,0,68,77,0
assets/player/cappy/ready.png,817,0,68,77,0
assets/player/cappy/ready.png,885,0,68,77,0
assets/player/cappy/ready.png,950,0,68,77,0
assets/player/cappy/ready.png,885,0,68,77,0
